"sample","cluster"
"TUMOR_1","2"
"TUMOR_10","2"
"TUMOR_10_dbgap","1"
"TUMOR_11","1"
"TUMOR_11_dbgap","2"
"TUMOR_13","1"
"TUMOR_14","1"
"TUMOR_14_dbgap","1"
"TUMOR_15","2"
"TUMOR_15_dbgap","1"
"TUMOR_16","3"
"TUMOR_16_dbgap","3"
"TUMOR_18_dbgap","1"
"TUMOR_19_dbgap","1"
"TUMOR_2","1"
"TUMOR_20_dbgap","2"
"TUMOR_21_dbgap","3"
"TUMOR_22_dbgap","3"
"TUMOR_24_dbgap","1"
"TUMOR_25_dbgap","3"
"TUMOR_26_dbgap","2"
"TUMOR_27_dbgap","1"
"TUMOR_28_dbgap","3"
"TUMOR_29_dbgap","2"
"TUMOR_3","3"
"TUMOR_30_dbgap","1"
"TUMOR_31_dbgap","2"
"TUMOR_32_dbgap","2"
"TUMOR_33_dbgap","1"
"TUMOR_36_dbgap","1"
"TUMOR_37_dbgap","2"
"TUMOR_38_dbgap","3"
"TUMOR_39_dbgap","1"
"TUMOR_4","2"
"TUMOR_4_dbgap","2"
"TUMOR_40_dbgap","1"
"TUMOR_41_dbgap","1"
"TUMOR_42_dbgap","1"
"TUMOR_43_dbgap","2"
"TUMOR_44_dbgap","1"
"TUMOR_45_dbgap","2"
"TUMOR_47_dbgap","2"
"TUMOR_48_dbgap","2"
"TUMOR_49_dbgap","1"
"TUMOR_5","3"
"TUMOR_5_dbgap","2"
"TUMOR_51_dbgap","3"
"TUMOR_52_dbgap","1"
"TUMOR_53_dbgap","1"
"TUMOR_58_dbgap","1"
"TUMOR_59_dbgap","1"
"TUMOR_6","2"
"TUMOR_60_dbgap","3"
"TUMOR_61_dbgap","2"
"TUMOR_62_dbgap","3"
"TUMOR_63_dbgap","2"
"TUMOR_64_dbgap","1"
"TUMOR_65_dbgap","1"
"TUMOR_67_dbgap","3"
"TUMOR_68_dbgap","2"
"TUMOR_69_dbgap","1"
"TUMOR_7","2"
"TUMOR_7_dbgap","1"
"TUMOR_74_dbgap","3"
"TUMOR_75_dbgap","3"
"TUMOR_76_dbgap","2"
"TUMOR_8","1"
"TUMOR_8_dbgap","3"
"TUMOR_80_dbgap","2"
"TUMOR_9","1"
"TUMOR_9_dbgap","1"
