"sample","cluster","dominant_signature","dominant_fraction","Sig1","Sig2","Sig3"
"TUMOR_1",2,"Sig3",0.885378299999996,4.53698099999998e-15,0.1146217,0.885378299999996
"TUMOR_10",2,"Sig3",0.5552624,0.1836856,0.261052,0.5552624
"TUMOR_10_dbgap",1,"Sig3",0.999999999958024,4.53698099980955e-15,4.19719299982382e-11,0.999999999958024
"TUMOR_11",1,"Sig3",0.999999999968984,1.60852399995011e-11,1.49310799995369e-11,0.999999999968984
"TUMOR_11_dbgap",2,"Sig1",0.563185499999997,0.563185499999997,0.436814499999998,4.54559199999998e-15
"TUMOR_13",1,"Sig3",0.4973972,0.2148506,0.2877522,0.4973972
"TUMOR_14",1,"Sig1",0.3764275,0.3764275,0.2645372,0.3590353
"TUMOR_14_dbgap",1,"Sig1",0.5653295,0.5653295,0.1993286,0.2353419
"TUMOR_15",2,"Sig3",0.869706799999996,0.130293199999999,4.50722699999998e-15,0.869706799999996
"TUMOR_15_dbgap",1,"Sig3",0.708798299999997,0.291201699999999,4.50722699999998e-15,0.708798299999997
"TUMOR_16",3,"Sig1",0.999999999890311,0.999999999890311,1.09684699987969e-10,4.5455919995014e-15
"TUMOR_16_dbgap",3,"Sig1",0.861500691384993,0.861500691384993,0.102386398976136,0.0361129096388709
"TUMOR_18_dbgap",1,"Sig2",0.545028899994774,0.454971099995637,0.545028899994774,9.58943599990804e-12
"TUMOR_19_dbgap",1,"Sig3",0.718263499999997,4.53698099999998e-15,0.281736499999999,0.718263499999997
"TUMOR_2",1,"Sig1",0.498746324937316,0.498746324937316,0.0433194521659726,0.457934222896711
"TUMOR_20_dbgap",2,"Sig2",0.777848599484695,0.22215139985283,0.777848599484695,6.62474899561127e-10
"TUMOR_21_dbgap",3,"Sig1",0.727581736379087,0.727581736379087,0.207799610389981,0.0646186532309327
"TUMOR_22_dbgap",3,"Sig1",0.999999999855208,0.999999999855208,1.44787999979036e-10,4.54559199934183e-15
"TUMOR_24_dbgap",1,"Sig3",0.4047414,0.3347287,0.2605299,0.4047414
"TUMOR_25_dbgap",3,"Sig1",0.4601891,0.4601891,0.1083278,0.4314831
"TUMOR_26_dbgap",2,"Sig2",0.698606999999997,0.301392999999999,0.698606999999997,4.54559199999998e-15
"TUMOR_27_dbgap",1,"Sig2",0.349648865035113,0.342779165722083,0.349648865035113,0.307571969242803
"TUMOR_28_dbgap",3,"Sig1",0.999999999972145,0.999999999972145,4.50722699987445e-15,2.78510899992242e-11
"TUMOR_29_dbgap",2,"Sig2",0.7334606,0.1016292,0.7334606,0.1649102
"TUMOR_3",3,"Sig1",0.60813368175599,0.60813368175599,0.0775598276732052,0.314306490570805
"TUMOR_30_dbgap",1,"Sig3",0.634346119030384,0.299193508975805,0.0664603719938112,0.634346119030384
"TUMOR_31_dbgap",2,"Sig2",0.811753899999996,0.188246099999999,0.811753899999996,4.54559199999998e-15
"TUMOR_32_dbgap",2,"Sig2",0.863432899999996,4.53698099999998e-15,0.863432899999996,0.136567099999999
"TUMOR_33_dbgap",1,"Sig3",0.5708935,0.2038302,0.2252763,0.5708935
"TUMOR_36_dbgap",1,"Sig3",0.66875897993723,0.0181559294553221,0.313085090607447,0.66875897993723
"TUMOR_37_dbgap",2,"Sig2",0.814566499980583,2.38373499994318e-11,0.814566499980583,0.18543349999558
"TUMOR_38_dbgap",3,"Sig1",0.714923387846302,0.714923387846302,0.00992811683122201,0.275148495322476
"TUMOR_39_dbgap",1,"Sig3",0.4208297,0.3196837,0.2594866,0.4208297
"TUMOR_4",2,"Sig3",0.616755299999997,0.383244699999998,4.50722699999998e-15,0.616755299999997
"TUMOR_4_dbgap",2,"Sig1",0.650091499999997,0.650091499999997,0.349908499999998,4.54559199999998e-15
"TUMOR_40_dbgap",1,"Sig2",0.999999999774267,6.88434299844598e-12,0.999999999774267,2.18848499950599e-10
"TUMOR_41_dbgap",1,"Sig2",0.999999999953966,1.74597299991963e-11,0.999999999953966,2.85737099986846e-11
"TUMOR_42_dbgap",1,"Sig1",0.4804237,0.4804237,0.3063909,0.2131854
"TUMOR_43_dbgap",2,"Sig2",0.846591099999996,0.153408899999999,0.846591099999996,4.54559199999998e-15
"TUMOR_44_dbgap",1,"Sig2",0.842006999991406,0.157992999998387,0.842006999991406,1.02070099998958e-11
"TUMOR_45_dbgap",2,"Sig3",0.746735599999997,4.53698099999998e-15,0.253264399999999,0.746735599999997
"TUMOR_47_dbgap",2,"Sig2",0.877279699999996,0.122720299999999,0.877279699999996,4.54559199999998e-15
"TUMOR_48_dbgap",2,"Sig2",0.6488541,0.1979776,0.6488541,0.1531683
"TUMOR_49_dbgap",1,"Sig3",0.819265599999996,0.180734399999999,4.50722699999998e-15,0.819265599999996
"TUMOR_5",3,"Sig1",0.530301353013702,0.530301353013702,3.0988093097849e-11,0.46969864695531
"TUMOR_5_dbgap",2,"Sig2",0.5723913,0.2597029,0.5723913,0.1679058
"TUMOR_51_dbgap",3,"Sig1",0.999999999980402,0.999999999980402,4.50722699991167e-15,1.9593289999616e-11
"TUMOR_52_dbgap",1,"Sig1",0.672297299999997,0.672297299999997,0.327702699999999,4.54559199999998e-15
"TUMOR_53_dbgap",1,"Sig3",0.443949955605004,0.292625370737463,0.263424673657533,0.443949955605004
"TUMOR_58_dbgap",1,"Sig3",0.3562072,0.3385235,0.3052693,0.3562072
"TUMOR_59_dbgap",1,"Sig3",0.438178443817844,0.274243927424393,0.287577628757763,0.438178443817844
"TUMOR_6",2,"Sig3",0.5757978,0.3171625,0.1070397,0.5757978
