"","sample","Sig1","Sig2","Sig3"
"1","TUMOR_1","4.536981e-15","1.146217e-01","8.853783e-01"
"2","TUMOR_10","1.836856e-01","2.610520e-01","5.552624e-01"
"3","TUMOR_10_dbgap","4.536981e-15","4.197193e-11","1.000000e+00"
"4","TUMOR_11","1.608524e-11","1.493108e-11","1.000000e+00"
"5","TUMOR_11_dbgap","5.631855e-01","4.368145e-01","4.545592e-15"
"6","TUMOR_13","2.148506e-01","2.877522e-01","4.973972e-01"
"7","TUMOR_14","3.764275e-01","2.645372e-01","3.590353e-01"
"8","TUMOR_14_dbgap","5.653295e-01","1.993286e-01","2.353419e-01"
"9","TUMOR_15","1.302932e-01","4.507227e-15","8.697068e-01"
"10","TUMOR_15_dbgap","2.912017e-01","4.507227e-15","7.087983e-01"
"11","TUMOR_16","1.000000e+00","1.096847e-10","4.545592e-15"
"12","TUMOR_16_dbgap","8.615007e-01","1.023864e-01","3.611291e-02"
"13","TUMOR_18_dbgap","4.549711e-01","5.450289e-01","9.589436e-12"
"14","TUMOR_19_dbgap","4.536981e-15","2.817365e-01","7.182635e-01"
"15","TUMOR_2","4.987463e-01","4.331945e-02","4.579342e-01"
"16","TUMOR_20_dbgap","2.221514e-01","7.778486e-01","6.624749e-10"
"17","TUMOR_21_dbgap","7.275817e-01","2.077996e-01","6.461865e-02"
"18","TUMOR_22_dbgap","1.000000e+00","1.447880e-10","4.545592e-15"
"19","TUMOR_24_dbgap","3.347287e-01","2.605299e-01","4.047414e-01"
"20","TUMOR_25_dbgap","4.601891e-01","1.083278e-01","4.314831e-01"
"21","TUMOR_26_dbgap","3.013930e-01","6.986070e-01","4.545592e-15"
"22","TUMOR_27_dbgap","3.427792e-01","3.496489e-01","3.075720e-01"
"23","TUMOR_28_dbgap","1.000000e+00","4.507227e-15","2.785109e-11"
"24","TUMOR_29_dbgap","1.016292e-01","7.334606e-01","1.649102e-01"
"25","TUMOR_3","6.081337e-01","7.755983e-02","3.143065e-01"
"26","TUMOR_30_dbgap","2.991935e-01","6.646037e-02","6.343461e-01"
