"","sample","Sig1","Sig2"
"1","TUMOR_1","1.000000e+00","2.891180e-11"
"2","TUMOR_10","6.744409e-01","3.255591e-01"
"3","TUMOR_10_dbgap","1.000000e+00","4.482762e-15"
"4","TUMOR_11","1.000000e+00","4.157458e-12"
"5","TUMOR_11_dbgap","2.768349e-01","7.231652e-01"
"6","TUMOR_13","7.094291e-01","2.905709e-01"
"7","TUMOR_14","4.966287e-01","5.033713e-01"
"8","TUMOR_14_dbgap","3.531774e-01","6.468226e-01"
"9","TUMOR_15","4.955750e-01","5.044251e-01"
"10","TUMOR_15_dbgap","7.053737e-01","2.946263e-01"
"11","TUMOR_16","1.770326e-11","1.000000e+00"
"12","TUMOR_16_dbgap","7.339702e-02","9.266030e-01"
"13","TUMOR_18_dbgap","4.623120e-01","5.376880e-01"
"14","TUMOR_19_dbgap","1.000000e+00","2.044214e-12"
"15","TUMOR_2","3.978605e-01","6.021395e-01"
"16","TUMOR_20_dbgap","8.423034e-01","1.576966e-01"
"17","TUMOR_21_dbgap","1.375974e-01","8.624026e-01"
"18","TUMOR_22_dbgap","3.895289e-11","1.000000e+00"
"19","TUMOR_24_dbgap","3.235752e-01","6.764248e-01"
"20","TUMOR_25_dbgap","4.828013e-01","5.171987e-01"
"21","TUMOR_26_dbgap","4.508926e-01","5.491074e-01"
"22","TUMOR_27_dbgap","5.978866e-01","4.021134e-01"
"23","TUMOR_28_dbgap","1.900671e-12","1.000000e+00"
"24","TUMOR_29_dbgap","7.884141e-01","2.115859e-01"
"25","TUMOR_3","2.743182e-01","7.256818e-01"
"26","TUMOR_30_dbgap","7.077279e-01","2.922721e-01"
"27","TUMOR_31_dbgap","6.968034e-01","3.031966e-01"
"28","TUMOR_32_dbgap","9.461638e-01","5.383613e-02"
"29","TUMOR_33_dbgap","8.160982e-01","1.839018e-01"
"30","TUMOR_36_dbgap","7.633274e-01","2.366726e-01"
"31","TUMOR_37_dbgap","8.747968e-01","1.252032e-01"
"32","TUMOR_38_dbgap","2.157046e-01","7.842954e-01"
"33","TUMOR_39_dbgap","6.213485e-01","3.786514e-01"
"34","TUMOR_4","6.530036e-01","3.469964e-01"
"35","TUMOR_4_dbgap","1.248067e-10","1.000000e+00"
"36","TUMOR_40_dbgap","8.341523e-01","1.658477e-01"
"37","TUMOR_41_dbgap","1.000000e+00","3.030381e-10"
"38","TUMOR_42_dbgap","4.290969e-01","5.709031e-01"
"39","TUMOR_43_dbgap","6.507161e-01","3.492839e-01"
"40","TUMOR_44_dbgap","8.140717e-01","1.859283e-01"
"41","TUMOR_45_dbgap","1.000000e+00","6.886365e-13"
"42","TUMOR_47_dbgap","7.228333e-01","2.771667e-01"
"43","TUMOR_48_dbgap","6.566683e-01","3.433316e-01"
"44","TUMOR_49_dbgap","7.271172e-01","2.728828e-01"
"45","TUMOR_5","1.565040e-01","8.434961e-01"
"46","TUMOR_5_dbgap","6.627441e-01","3.372559e-01"
"47","TUMOR_51_dbgap","4.977440e-15","1.000000e+00"
"48","TUMOR_52_dbgap","1.329780e-11","1.000000e+00"
"49","TUMOR_53_dbgap","6.496585e-01","3.503415e-01"
"50","TUMOR_58_dbgap","4.851333e-01","5.148667e-01"
"51","TUMOR_59_dbgap","6.901947e-01","3.098053e-01"
"52","TUMOR_6","5.264372e-01","4.735628e-01"
"53","TUMOR_60_dbgap","1.369162e-01","8.630838e-01"
"54","TUMOR_61_dbgap","8.106973e-01","1.893027e-01"
"55","TUMOR_62_dbgap","3.076012e-01","6.923988e-01"
"56","TUMOR_63_dbgap","3.158239e-01","6.841761e-01"
"57","TUMOR_64_dbgap","9.144679e-01","8.553208e-02"
"58","TUMOR_65_dbgap","3.423112e-01","6.576888e-01"
"59","TUMOR_67_dbgap","2.638104e-01","7.361896e-01"
"60","TUMOR_68_dbgap","8.769668e-01","1.230332e-01"
"61","TUMOR_69_dbgap","3.798766e-01","6.201235e-01"
"62","TUMOR_7","7.268168e-01","2.731832e-01"
"63","TUMOR_7_dbgap","7.073171e-01","2.926829e-01"
"64","TUMOR_74_dbgap","3.049027e-02","9.695098e-01"
"65","TUMOR_75_dbgap","4.005917e-01","5.994083e-01"
"66","TUMOR_76_dbgap","3.413980e-01","6.586020e-01"
"67","TUMOR_8","6.722728e-01","3.277272e-01"
"68","TUMOR_8_dbgap","3.575833e-01","6.424167e-01"
"69","TUMOR_80_dbgap","7.097567e-01","2.902433e-01"
"70","TUMOR_9","6.302623e-01","3.697377e-01"
"71","TUMOR_9_dbgap","8.061921e-01","1.938079e-01"
