"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3"
"SBS1",0.878,0.877865835424196,0.226,0.232389948392567,0.084,0.0975045911161167
"SBS4",0.103,0.118795820188477,0.833,0.846285660690824,0.49,0.502705330621485
"SBS3",0.202,0.238705426337184,0.544,0.634747262171357,0.711,0.773573553569187
"SBS2",0.144,0.164120614303256,0.126,0.125898547880752,0.18,0.180000911154977
"SBS5",0.402,0.435821709128311,0.408,0.472162607790634,0.564,0.602260059140637
"SBS6",0.873,0.872993310880615,0.279,0.315300710391747,0.246,0.271586350966814
"SBS7a",0.199,0.205121523088985,0.137,0.140322347161397,0.266,0.270018986797353
"SBS7b",0.216,0.22588705162788,0.116,0.117594509818011,0.305,0.309783110683839
"SBS7c",0.056,0.0587239281724712,0.078,0.0857568805244011,0.216,0.22908776466739
"SBS7d",0.115,0.117304252465067,0.053,0.0566579569805825,0.149,0.153775148739173
"SBS8",0.114,0.128426613489978,0.633,0.672606675553289,0.473,0.512694889405017
"SBS9",0.169,0.191136540755607,0.211,0.243457593624149,0.444,0.522039881195368
"SBS10a",0.069,0.0694538970763006,0.215,0.215611953295628,0.099,0.0995312716343267
"SBS10b",0.402,0.426420853532513,0.076,0.0777588607714842,0.116,0.115753774873268
"SBS10c",0.188,0.192567661413481,0.4,0.419980199070102,0.295,0.324752126715534
"SBS10d",0.063,0.0628846879429253,0.295,0.296129114102109,0.163,0.163418436301778
"SBS11",0.164,0.164047652123222,0.149,0.152549440810034,0.332,0.332167281865363
"SBS12",0.15,0.156800498415824,0.103,0.127591622818488,0.244,0.274913449642651
"SBS13",0.012,0.0122721973724949,0.118,0.117555290167305,0.35,0.35013853055971
"SBS14",0.117,0.130850584032537,0.644,0.64642297757276,0.205,0.212827173655011
"SBS15",0.776,0.783388862299942,0.286,0.320077743984546,0.23,0.237282702109358
"SBS16",0.079,0.0797674310147979,0.188,0.194720203538701,0.173,0.203080938296297
