"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4"
"SBS1",0.9,0.900337661472464,0.314,0.314161209593343,0.164,0.184011850976583,0.008,0.00858195419072637
"SBS4",0.06,0.075443684083814,0.778,0.809988374505038,0.515,0.546252505871237,0.44,0.462375046425313
"SBS24",0.172,0.239494031977899,0.665,0.689700910354737,0.617,0.656604458826474,0.392,0.443576354681352
"SBS3",0.173,0.219242851783778,0.5,0.619480659110089,0.598,0.684411907902139,0.587,0.679643761941076
"SBS2",0.135,0.154194493197751,0.136,0.135993565290247,0.223,0.22347007418649,0.047,0.0466634467543716
"SBS5",0.376,0.417285324469845,0.396,0.467835168693019,0.54,0.599772087806743,0.419,0.498094266883266
"SBS6",0.887,0.89017141524035,0.371,0.412281603429738,0.261,0.311990751772898,0.143,0.197143351363719
"SBS7a",0.19,0.196443911011615,0.134,0.136145658659186,0.308,0.310652367168231,0.107,0.110046250182857
"SBS7b",0.216,0.227828595089004,0.102,0.107095848647326,0.304,0.303817138699392,0.168,0.18473951028514
"SBS7c",0.047,0.0491056772046547,0.071,0.0786429932484704,0.156,0.169007213921141,0.183,0.196084388847254
"SBS7d",0.089,0.0908900403180925,0.048,0.0508489732747548,0.187,0.193727788657094,0.104,0.110147186312654
"SBS8",0.073,0.08678961684297,0.583,0.64713895456662,0.441,0.502336252784616,0.469,0.494054268904902
"SBS9",0.148,0.172239114729102,0.192,0.234645017437055,0.244,0.284131888870059,0.519,0.626810693918466
"SBS10a",0.044,0.0443646573465542,0.251,0.251703189245957,0.034,0.0339372344932682,0.165,0.165171765866645
"SBS10b",0.309,0.327079662268913,0.205,0.210037387859379,0.179,0.186212114868813,0.099,0.0993573676571298
"SBS10c",0.151,0.166238458655409,0.419,0.43963416306885,0.189,0.201925392913074,0.381,0.412868361475465
"SBS10d",0.033,0.0327713987383767,0.306,0.307245980124604,0.12,0.120198612379523,0.215,0.215819481146763
"SBS11",0.173,0.173008875463464,0.118,0.120190776203338,0.311,0.319089659118339,0.195,0.212230809535434
"SBS12",0.125,0.130362187675103,0.096,0.120096325287703,0.227,0.257751351275225,0.209,0.234104004747496
"SBS13",0.017,0.0178873711858319,0.091,0.0913163322663985,0.257,0.258155498376652,0.239,0.239411315030364
"SBS14",0.091,0.101724077280267,0.646,0.648777832346123,0.144,0.167735969276185,0.328,0.331776303697592
"SBS15",0.79,0.802271871401806,0.372,0.415750137395673,0.182,0.197677013374876,0.203,0.214827491230749
"SBS16",0.063,0.0690278855244745,0.171,0.177731309911756,0.179,0.211461497852985,0.151,0.157514808958951
"SBS17a",0.035,0.0353871408932043,0.019,0.0204256718499176,0.044,0.0444425122814534,0.344,0.345212024881806
"SBS17b",0.006,0.00639879278004873,0.006,0.0059357562349482,0.024,0.0243265907100037,0.532,0.536353206153544
"SBS18",0.16,0.214124012037723,0.599,0.603801432006187,0.507,0.52304355418734,0.392,0.41078874728193
"SBS19",0.226,0.230443453685579,0.102,0.123272953812682,0.209,0.235144668769668,0.169,0.173978783761641
"SBS20",0.18,0.193493405978099,0.674,0.698678325308145,0.169,0.185135056715509,0.259,0.289418832429796
"SBS21",0.128,0.129815617708094,0.078,0.105225039256369,0.221,0.234508449336021,0.149,0.179859796900457
"SBS22a",0.029,0.0310376189698916,0.051,0.0630107232796948,0.118,0.136208790518086,0.232,0.256244682768043
"SBS22b",0.07,0.0787473674850717,0.11,0.124743109138342,0.173,0.184421767937668,0.193,0.206288102551378
"SBS23",0.278,0.286938985915749,0.104,0.112215693983701,0.229,0.245192395254878,0.243,0.256354844962801
"SBS25",0.3,0.400720826469074,0.383,0.464503435450806,0.427,0.554810602709988,0.484,0.572917909903714
"SBS26",0.17,0.17875711129552,0.101,0.123883849115157,0.193,0.221667725316044,0.249,0.279403246445886
"SBS27",0.078,0.0811473194607147,0.102,0.11171498229512,0.098,0.111055258075348,0.101,0.110727107242384
"SBS28",0.019,0.019908035094828,0.017,0.0176997807954563,0.027,0.0284552746659803,0.271,0.279159960117463
"SBS29",0.175,0.228053738575965,0.741,0.746360947483348,0.583,0.640022939000095,0.388,0.422496831390151
"SBS30",0.282,0.302661510040124,0.188,0.193301374465924,0.394,0.40137853822113,0.184,0.202197215044155
"SBS31",0.204,0.213984585955473,0.22,0.22955001929868,0.238,0.246874322630357,0.282,0.287437421780652
"SBS32",0.265,0.278224497181104,0.255,0.267422141146161,0.372,0.391937627568466,0.16,0.178191925196912
"SBS33",0.095,0.0954466561664308,0.057,0.0690816652991007,0.12,0.122344081965678,0.14,0.143428096116916
