"","sample","Sig1","Sig2","Sig3","Sig4","Sig5"
"1","TUMOR_1","1.796332e-12","9.372055e-02","6.338697e-01","4.427689e-15","2.724096e-01"
"2","TUMOR_10","1.402508e-01","2.732971e-01","5.864521e-01","4.427689e-15","4.235457e-15"
"3","TUMOR_10_dbgap","5.129379e-15","1.715074e-11","2.328614e-11","1.352700e-11","9.999999e-01"
"4","TUMOR_11","5.129379e-15","6.039431e-12","9.999998e-01","3.463545e-11","1.348921e-11"
"5","TUMOR_11_dbgap","5.804655e-01","3.395766e-01","1.207159e-11","7.995776e-02","4.235457e-15"
"6","TUMOR_13","6.630974e-02","1.517775e-01","5.153453e-01","1.387670e-01","1.278005e-01"
"7","TUMOR_14","5.129379e-15","2.196928e-02","3.873248e-01","4.495807e-01","1.411253e-01"
"8","TUMOR_14_dbgap","5.910990e-01","1.316620e-01","4.539186e-15","3.870286e-12","2.772387e-01"
"9","TUMOR_15","5.129379e-15","4.613010e-15","9.999998e-01","1.325749e-10","6.409391e-12"
"10","TUMOR_15_dbgap","5.129379e-15","9.428045e-12","3.416477e-11","1.000000e+00","6.359383e-13"
"11","TUMOR_16","5.894518e-01","1.275596e-01","2.829883e-01","4.427689e-15","4.235457e-15"
"12","TUMOR_16_dbgap","7.868582e-01","9.041009e-02","5.531943e-02","1.697508e-02","5.043682e-02"
"13","TUMOR_18_dbgap","2.869062e-01","3.129959e-01","2.443273e-01","1.557706e-01","2.214194e-12"
"14","TUMOR_19_dbgap","5.129379e-15","2.174934e-01","1.952644e-01","1.230908e-10","5.872422e-01"
"15","TUMOR_2","4.019850e-01","4.613010e-15","3.184283e-01","2.837981e-11","2.795864e-01"
"16","TUMOR_20_dbgap","2.298755e-01","6.370433e-01","4.539186e-15","1.330814e-01","8.201553e-10"
"17","TUMOR_21_dbgap","6.804877e-01","1.411347e-01","7.807960e-02","3.192498e-02","6.837274e-02"
"18","TUMOR_22_dbgap","4.603441e-01","9.841956e-02","4.412361e-01","4.427689e-15","4.235457e-15"
"19","TUMOR_24_dbgap","3.323741e-01","1.650485e-01","2.290969e-01","1.527849e-01","1.206957e-01"
"20","TUMOR_25_dbgap","3.062109e-01","4.613010e-15","5.675676e-02","5.719961e-01","6.503633e-02"
"21","TUMOR_26_dbgap","1.252026e-01","2.392269e-09","5.831499e-01","2.916475e-01","4.235457e-15"
"22","TUMOR_27_dbgap","4.242252e-01","4.613010e-15","3.673165e-07","9.765232e-02","4.781218e-01"
"23","TUMOR_28_dbgap","9.330054e-01","4.613010e-15","4.539186e-15","6.827390e-12","6.699413e-02"
"24","TUMOR_29_dbgap","1.558855e-01","6.176525e-01","4.083638e-12","4.427689e-15","2.264622e-01"
"25","TUMOR_3","3.070516e-01","4.613010e-15","4.590565e-01","2.338917e-01","4.235457e-15"
"26","TUMOR_30_dbgap","2.205668e-01","4.392554e-02","1.735009e-12","1.469107e-01","5.885969e-01"
"27","TUMOR_31_dbgap","1.934457e-01","8.065546e-01","4.539186e-15","3.368780e-11","4.235457e-15"
"28","TUMOR_32_dbgap","4.241449e-13","8.472825e-01","7.236887e-12","7.259708e-12","1.527178e-01"
"29","TUMOR_33_dbgap","5.129379e-15","9.385667e-02","9.238591e-02","5.331615e-01","2.805962e-01"
"30","TUMOR_36_dbgap","2.892454e-02","4.613010e-15","5.509376e-01","1.077532e-01","3.123846e-01"
"31","TUMOR_37_dbgap","5.129379e-15","6.558256e-01","1.272805e-01","1.676556e-01","4.923860e-02"
"32","TUMOR_38_dbgap","5.251602e-01","4.613010e-15","1.525484e-01","1.233627e-01","1.989284e-01"
"33","TUMOR_39_dbgap","2.761786e-01","3.315603e-01","1.492199e-01","4.427689e-15","2.430411e-01"
"34","TUMOR_4","1.730901e-01","4.613010e-15","4.539186e-15","6.212535e-01","2.056565e-01"
"35","TUMOR_4_dbgap","2.226108e-08","4.613010e-15","7.325578e-02","9.267446e-01","1.706416e-14"
"36","TUMOR_40_dbgap","5.129379e-15","7.581036e-01","1.982704e-10","2.418968e-01","1.124107e-11"
"37","TUMOR_41_dbgap","1.614650e-11","1.000000e+00","8.332381e-11","1.874630e-11","8.191796e-12"
"38","TUMOR_42_dbgap","3.041301e-01","2.311575e-01","4.539186e-15","4.647126e-01","4.235457e-15"
"39","TUMOR_43_dbgap","1.127564e-01","6.524276e-01","4.539186e-15","2.348163e-01","4.235457e-15"
