"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5","Cosine_Sig6","PeakSensitive_Sig6"
"SBS1",0.903,0.904590776818884,0.131,0.134454613628396,0.481,0.527562755985608,0.162,0.188159184088896,0.209,0.24283069980474,0.005,0.00618828704625874
"SBS4",0.046,0.0591055386415193,0.81,0.852597698575887,0.36,0.390495421287243,0.511,0.584982580734286,0.165,0.194995982517175,0.365,0.395875611088017
"SBS40a",0.232,0.286247048194839,0.367,0.44848161966332,0.537,0.614804120872933,0.437,0.565560132799726,0.581,0.729342601844706,0.366,0.441942358512061
"SBS24",0.158,0.221624036409515,0.661,0.696306466159408,0.371,0.424028272606741,0.637,0.725359314302337,0.195,0.256430299184285,0.335,0.40690463545537
"SBS2",0.026,0.0299585946069661,0.002,0.00199496915044396,0.151,0.152887155444393,0.068,0.0684361749236147,0.66,0.755209088952133,0.007,0.00819858769041304
"SBS17b",0.011,0.0112410044746769,0.004,0.00384506533788833,0.029,0.0295592114125818,0.011,0.0116196716776489,0.009,0.00902165108968464,0.637,0.641301583456015
"SBS3",0.12,0.161947119708654,0.459,0.592039180111378,0.461,0.57061963431491,0.478,0.571862137485024,0.401,0.46868195616857,0.514,0.611251660968934
"SBS5",0.302,0.359977129303694,0.282,0.370103696988698,0.455,0.552418361975679,0.413,0.511172367651331,0.529,0.644869699443405,0.383,0.478347644398605
"SBS6",0.875,0.898744062205874,0.222,0.279157555689158,0.451,0.577804862895382,0.292,0.344274732990421,0.243,0.275671630036355,0.154,0.214002827168859
"SBS7a",0.096,0.0990477262797853,0.012,0.0124174151202302,0.166,0.166258914133305,0.158,0.16289397633211,0.641,0.688416276800004,0.066,0.07003463645027
"SBS7b",0.183,0.192505346811698,0.042,0.0469243099600699,0.229,0.231493246560822,0.245,0.267270071645571,0.245,0.300764604506599,0.143,0.166423323620684
"SBS7c",0.027,0.0291748055601892,0.062,0.0688234740499708,0.167,0.184509913142414,0.079,0.0876924207406892,0.12,0.123595970427095,0.154,0.165198040758133
"SBS7d",0.05,0.0530102847357586,0.028,0.0305481069696574,0.201,0.213654495983577,0.178,0.185842208492329,0.06,0.0644219768336047,0.097,0.104160722795352
"SBS8",0.049,0.0596417834958713,0.579,0.637618646465271,0.393,0.455238978697592,0.37,0.438861623518611,0.236,0.272133509441561,0.367,0.395930315621853
"SBS9",0.112,0.144067517202326,0.139,0.186365921390304,0.251,0.301205583325685,0.177,0.229668119060081,0.233,0.264503691094798,0.553,0.675983674646064
"SBS10a",0.036,0.0357889483966368,0.221,0.223470649407169,0.186,0.185841227534101,0.02,0.0199667352178394,0.015,0.0152012056136836,0.176,0.176577460304317
"SBS10b",0.333,0.355511983677383,0.06,0.0639039982536509,0.454,0.46716196435629,0.071,0.0739851917893879,0.051,0.0548709296311607,0.101,0.104942871238778
"SBS10c",0.124,0.145483422482747,0.362,0.399035771668997,0.324,0.360828037483706,0.161,0.187950322989376,0.154,0.169916114306343,0.38,0.415501084608222
"SBS10d",0.023,0.0231686582282704,0.245,0.246177904268264,0.323,0.325852718773703,0.061,0.0615130336918905,0.037,0.0371944896895815,0.21,0.210534177966122
"SBS11",0.132,0.132264418229905,0.068,0.0693276950475,0.187,0.191771253170368,0.251,0.272382870720938,0.278,0.28887969370723,0.184,0.199949202325553
"SBS12",0.068,0.0764148079738816,0.059,0.0769101239307193,0.129,0.157121777635868,0.193,0.228312005665966,0.283,0.303044208239943,0.198,0.222390439046555
"SBS13",0.005,0.00511829532416007,0.038,0.0391773277712928,0.326,0.325952924063012,0.104,0.106686064894436,0.179,0.183346481790129,0.149,0.148708747095825
"SBS14",0.081,0.0909501993203277,0.613,0.618096154193448,0.277,0.288360979738411,0.154,0.200183063729962,0.152,0.17064012140483,0.262,0.273846863805345
"SBS15",0.776,0.790629225721708,0.248,0.288428435752051,0.467,0.528487596925884,0.218,0.231975346159725,0.16,0.182071511160688,0.203,0.215634222653757
"SBS16",0.044,0.0501942120097455,0.11,0.132195194739338,0.2,0.207888917274223,0.086,0.103358461685483,0.207,0.210504476905315,0.127,0.132580399287827
"SBS17a",0.023,0.0219867474526956,0.018,0.01921335203752,0.017,0.0189363454363064,0.032,0.0331859892084068,0.083,0.0835105371996539,0.394,0.395151813238557
"SBS18",0.144,0.193639465067217,0.567,0.60803326755427,0.471,0.511043895874471,0.458,0.540041463156511,0.172,0.208900852219366,0.325,0.342923862829611
"SBS19",0.178,0.184382919054803,0.068,0.0853974499019925,0.202,0.217034093661565,0.202,0.217173512619076,0.172,0.213096026665355,0.166,0.175370290925203
"SBS20",0.16,0.176354235519764,0.681,0.707677216599499,0.174,0.199628100998108,0.236,0.260002158404618,0.148,0.164022737905901,0.238,0.266743214243576
"SBS21",0.075,0.0770426971441471,0.06,0.0840347254182538,0.101,0.119674726626774,0.224,0.237562678782324,0.219,0.255294924567089,0.136,0.164286954808848
"SBS22a",0.019,0.0214682905505903,0.072,0.0868721603651104,0.054,0.0652637388231492,0.064,0.0790624846347627,0.127,0.141200328862149,0.195,0.216418442462819
"SBS22b",0.045,0.0518526301331084,0.106,0.114736599535383,0.137,0.156008428779385,0.1,0.11422710858789,0.171,0.185000979187295,0.164,0.17776790184499
"SBS23",0.244,0.25458136958869,0.074,0.0811146833163236,0.175,0.193874982674002,0.253,0.257964463399282,0.15,0.162083748948955,0.255,0.27023289229967
"SBS25",0.251,0.374889410916342,0.322,0.413188029379211,0.37,0.536865484660354,0.337,0.491030175321099,0.408,0.524859090131049,0.422,0.513620229073853
"SBS26",0.115,0.127969179670253,0.067,0.0851415174747439,0.128,0.148797457589159,0.15,0.173993983666862,0.288,0.317644783541629,0.248,0.278193322891229
"SBS27",0.062,0.0655658671062398,0.097,0.106481916867914,0.077,0.0871037699890383,0.083,0.0955275790885868,0.094,0.0985767000238796,0.09,0.0990388178371828
"SBS28",0.017,0.0166401903985568,0.007,0.00778896594785135,0.038,0.0396036429292649,0.016,0.0167706232678802,0.023,0.0248594302657944,0.324,0.333380789835044
"SBS29",0.168,0.219341366978248,0.714,0.74064317682359,0.482,0.521189372708107,0.559,0.643943682205029,0.18,0.231878804372829,0.307,0.339792811489373
"SBS30",0.192,0.205054114560197,0.093,0.0978552820571045,0.198,0.214561320013307,0.306,0.317533933391147,0.558,0.592053449531277,0.167,0.187361488495462
"SBS31",0.165,0.174589039071268,0.2,0.210811783073656,0.254,0.266182374616379,0.216,0.223766300935906,0.168,0.176610907020366,0.255,0.261368084928003
"SBS32",0.206,0.237355342673648,0.175,0.198002754320133,0.338,0.38307297720448,0.254,0.267722760212422,0.358,0.402179057171899,0.144,0.169079287536453
"SBS33",0.072,0.0725352011577331,0.038,0.0458686628783838,0.071,0.0870776448976909,0.102,0.105584570607012,0.151,0.151708816600131,0.126,0.128815066365773
"SBS34",0.04,0.0402641092867654,0.041,0.0428160976548189,0.063,0.0656875049120946,0.022,0.0230466609336942,0.111,0.11238082443221,0.016,0.016267816591468
"SBS35",0.09,0.117465261814984,0.535,0.55115295330174,0.278,0.341899450068175,0.353,0.39877509015175,0.187,0.224165728400658,0.412,0.442217816109903
"SBS36",0.055,0.0755702991506899,0.505,0.576637553066412,0.42,0.431540470757129,0.293,0.351390238497265,0.116,0.146152780866617,0.28,0.291481808220364
"SBS37",0.088,0.116681874738953,0.065,0.118425303002691,0.225,0.286512361959657,0.15,0.217585350978911,0.254,0.316173612798563,0.256,0.317026520691118
"SBS38",0.028,0.0281427813824234,0.472,0.473068186126514,0.113,0.11413802630813,0.409,0.416322851503388,0.041,0.0464345511994799,0.282,0.285804186618431
"SBS39",0.121,0.150520435766711,0.206,0.256597190705411,0.459,0.51778496347184,0.361,0.39909241444947,0.326,0.363192914464809,0.347,0.419704913841866
"SBS40b",0.112,0.160147506141903,0.224,0.317255655785706,0.425,0.504509431663464,0.292,0.392692546539657,0.441,0.54161791233897,0.466,0.568594649920344
