"","sample","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6"
"1","TUMOR_1","5.257833e-15","8.277781e-02","4.787415e-15","6.238362e-01","1.331142e-11","2.933887e-01"
"2","TUMOR_10","9.012864e-02","2.293203e-01","2.690511e-01","4.115014e-01","4.216885e-15","4.031367e-15"
"3","TUMOR_10_dbgap","5.257833e-15","2.604664e-11","1.411632e-11","2.719602e-11","7.148451e-12","9.999993e-01"
"4","TUMOR_11","1.834294e-12","4.921671e-15","4.787415e-15","8.468643e-01","1.531399e-01","3.145678e-12"
"5","TUMOR_11_dbgap","4.896884e-01","3.215794e-01","6.116614e-11","1.148951e-01","7.383667e-02","4.031367e-15"
"6","TUMOR_13","1.146889e-01","2.369259e-11","4.787415e-15","5.952066e-01","1.855868e-01","1.045205e-01"
"7","TUMOR_14","5.257833e-15","8.943438e-12","2.601131e-01","2.338319e-01","4.546302e-01","5.142562e-02"
"8","TUMOR_14_dbgap","4.694339e-01","1.510123e-01","4.787415e-15","4.502902e-15","1.639763e-01","2.155767e-01"
"9","TUMOR_15","5.257833e-15","4.921671e-15","3.293303e-01","6.706730e-01","3.972256e-12","3.879885e-12"
"10","TUMOR_15_dbgap","9.491966e-12","7.063891e-11","9.999998e-01","1.850098e-11","2.960740e-12","7.962486e-12"
"11","TUMOR_16","8.181556e-01","1.818436e-01","2.554297e-11","1.215663e-12","1.375304e-13","5.931480e-12"
"12","TUMOR_16_dbgap","7.533381e-01","1.201559e-01","1.274754e-02","1.648870e-03","7.900627e-02","3.310278e-02"
"13","TUMOR_18_dbgap","1.656814e-01","2.259849e-01","1.222088e-01","8.951637e-02","3.966081e-01","4.031367e-15"
"14","TUMOR_19_dbgap","5.257833e-15","9.770435e-08","4.787415e-15","2.524653e-01","4.183006e-02","7.057053e-01"
"15","TUMOR_2","3.705703e-01","2.167507e-11","2.496901e-01","1.904509e-01","4.216885e-15","1.892894e-01"
"16","TUMOR_20_dbgap","1.071133e-01","3.361838e-01","9.484252e-02","4.618618e-01","4.216885e-15","4.110526e-12"
"17","TUMOR_21_dbgap","6.068899e-01","1.317158e-01","3.833696e-02","4.455812e-02","1.461208e-01","3.237801e-02"
"18","TUMOR_22_dbgap","6.730886e-01","1.328259e-01","4.787415e-15","9.502031e-02","9.906501e-02","4.031367e-15"
"19","TUMOR_24_dbgap","2.847555e-11","1.465755e-01","4.466062e-12","6.689571e-12","8.534236e-01","4.878219e-12"
"20","TUMOR_25_dbgap","1.961502e-01","1.836822e-02","4.191091e-01","4.502902e-15","3.307276e-01","3.564453e-02"
"21","TUMOR_26_dbgap","1.343550e-01","1.023803e-12","4.093113e-01","4.563358e-01","4.216885e-15","4.031367e-15"
"22","TUMOR_27_dbgap","2.859013e-01","4.921671e-15","1.094757e-11","3.741288e-01","3.399715e-01","4.031367e-15"
"23","TUMOR_28_dbgap","9.533010e-01","4.921671e-15","4.787415e-15","4.502902e-15","3.058377e-12","4.669859e-02"
"24","TUMOR_29_dbgap","1.621597e-01","6.643265e-01","4.787415e-15","5.611996e-11","4.216885e-15","1.735119e-01"
"25","TUMOR_3","3.156911e-01","4.921671e-15","1.613317e-01","2.321311e-01","2.908469e-01","4.031367e-15"
"26","TUMOR_30_dbgap","1.922989e-01","3.073087e-02","1.157561e-01","4.502902e-15","5.242649e-02","6.087869e-01"
"27","TUMOR_31_dbgap","1.655623e-01","8.344356e-01","2.664574e-11","4.502902e-15","3.205761e-12","2.436982e-12"
"28","TUMOR_32_dbgap","2.928964e-12","7.677670e-01","4.787415e-15","2.389557e-11","1.325968e-12","2.322309e-01"
"29","TUMOR_33_dbgap","5.257833e-15","8.793837e-02","4.021097e-01","1.339607e-01","2.187415e-01","1.572498e-01"
"30","TUMOR_36_dbgap","5.257833e-15","4.921671e-15","2.047410e-01","2.712733e-01","3.081009e-01","2.158858e-01"
"31","TUMOR_37_dbgap","5.257833e-15","5.823921e-01","1.427154e-01","7.952386e-02","1.360296e-01","5.933780e-02"
"32","TUMOR_38_dbgap","4.379444e-01","4.921671e-15","5.463324e-02","3.908773e-12","3.452342e-01","1.621876e-01"
"33","TUMOR_39_dbgap","1.424324e-01","2.934536e-01","4.787415e-15","2.919406e-02","2.734834e-01","2.614355e-01"
"34","TUMOR_4","2.733734e-01","2.201353e-01","4.787415e-15","4.502902e-15","3.907669e-01","1.157234e-01"
"35","TUMOR_4_dbgap","5.854563e-03","1.410946e-11","9.941452e-01","4.502902e-15","1.526343e-10","4.031367e-15"
"36","TUMOR_40_dbgap","5.257833e-15","6.871322e-01","4.765373e-11","5.031979e-12","3.128659e-01","2.617880e-11"
"37","TUMOR_41_dbgap","5.257833e-15","7.904657e-01","9.458525e-12","3.401733e-11","2.095321e-01","2.431394e-12"
"38","TUMOR_42_dbgap","2.773338e-01","2.600090e-01","3.147406e-01","4.502902e-15","1.479157e-01","4.031367e-15"
"39","TUMOR_43_dbgap","4.685352e-02","6.298803e-01","2.687970e-01","4.502902e-15","5.446747e-02","4.031367e-15"
"40","TUMOR_44_dbgap","5.257833e-15","5.755522e-01","9.628846e-02","7.599313e-02","2.521650e-01","4.354875e-12"
"41","TUMOR_45_dbgap","5.257833e-15","1.683250e-01","7.616866e-13","2.277979e-01","4.216885e-15","6.038774e-01"
"42","TUMOR_47_dbgap","1.027265e-01","7.681187e-01","1.773789e-11","4.502902e-15","1.291528e-01","4.031367e-15"
"43","TUMOR_48_dbgap","5.257833e-15","6.116910e-01","3.883074e-01","7.235254e-10","3.418706e-11","3.107340e-12"
"44","TUMOR_49_dbgap","1.758154e-01","4.921671e-15","4.787415e-15","9.822541e-12","1.737903e-01","6.503937e-01"
"45","TUMOR_5","4.078841e-01","4.921671e-15","1.164155e-11","5.921188e-01","4.883612e-12","5.163505e-13"
"46","TUMOR_5_dbgap","5.257833e-15","2.828882e-01","2.139506e-01","4.502902e-15","4.216885e-15","5.031601e-01"
"47","TUMOR_51_dbgap","6.684567e-01","4.921671e-15","1.256833e-13","4.502902e-15","3.315429e-01","1.002881e-11"
"48","TUMOR_52_dbgap","4.058755e-01","1.925822e-01","1.567034e-01","4.502902e-15","2.448381e-01","4.031367e-15"
"49","TUMOR_53_dbgap","1.914701e-01","1.250981e-01","2.632277e-14","4.502902e-15","3.364477e-12","6.834310e-01"
"50","TUMOR_58_dbgap","9.919599e-02","8.473839e-02","2.922274e-01","1.464012e-01","3.288020e-01","4.863519e-02"
"51","TUMOR_59_dbgap","7.389064e-02","3.644945e-02","2.786822e-01","7.201444e-02","4.156501e-01","1.233130e-01"
"52","TUMOR_6","5.810232e-02","4.921671e-15","4.787415e-15","8.507915e-01","9.111036e-02","4.031367e-15"
"53","TUMOR_60_dbgap","5.725271e-01","1.615348e-01","3.010729e-02","3.946780e-02","1.473552e-01","4.900730e-02"
"54","TUMOR_61_dbgap","8.807002e-11","9.999975e-01","2.663691e-11","4.502902e-15","1.111034e-11","1.966685e-11"
"55","TUMOR_62_dbgap","5.106041e-01","2.451109e-01","4.787415e-15","2.442855e-01","4.216885e-15","3.417936e-12"
"56","TUMOR_63_dbgap","1.613575e-01","5.132506e-01","3.253905e-01","4.502902e-15","1.551862e-10","4.031367e-15"
"57","TUMOR_64_dbgap","5.257833e-15","4.921671e-15","2.578324e-01","2.677288e-11","6.352694e-11","7.421670e-01"
"58","TUMOR_65_dbgap","3.272020e-01","6.155458e-02","1.463665e-12","4.502902e-15","6.112428e-01","7.626210e-12"
"59","TUMOR_67_dbgap","4.417845e-01","1.033674e-01","4.787415e-15","4.548499e-01","4.216885e-15","4.031367e-15"
"60","TUMOR_68_dbgap","7.657812e-02","4.093818e-02","4.787415e-15","8.824880e-01","1.129486e-11","4.031367e-15"
"61","TUMOR_69_dbgap","3.575663e-01","2.766767e-01","4.787415e-15","4.502902e-15","2.637889e-01","1.019671e-01"
"62","TUMOR_7","5.257833e-15","1.264628e-12","7.250969e-01","2.556893e-01","1.921493e-02","6.129642e-12"
