"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS1",0.904590776818884
"Sig1",2,"SBS6",0.898744062205874
"Sig1",3,"SBS15",0.790629225721708
"Sig2",1,"SBS4",0.852597698575887
"Sig2",2,"SBS94",0.817506822873173
"Sig2",3,"SBS95",0.75912003516875
"Sig3",1,"SBS40a",0.614804120872933
"Sig3",2,"SBS6",0.577804862895382
"Sig3",3,"SBS3",0.57061963431491
"Sig4",1,"SBS24",0.725359314302337
"Sig4",2,"SBS29",0.643943682205029
"Sig4",3,"SBS94",0.641473917454912
"Sig5",1,"SBS2",0.755209088952133
"Sig5",2,"SBS40a",0.729342601844706
"Sig5",3,"SBS7a",0.688416276800004
"Sig6",1,"SBS9",0.675983674646064
"Sig6",2,"SBS17b",0.641301583456015
"Sig6",3,"SBS3",0.611251660968934
