"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5","Cosine_Sig6","PeakSensitive_Sig6","Cosine_Sig7","PeakSensitive_Sig7"
"SBS1",0.899,0.899913339709345,0.116,0.118953373547494,0.352,0.362599840582965,0.243,0.24346476390934,0.396,0.500372468295256,0.251,0.291353854751908,0.024,0.0275720816020942
"SBS4",0.033,0.0422058941798714,0.782,0.842261457470057,0.275,0.304461904370535,0.308,0.337061162987184,0.418,0.464839562063111,0.494,0.568976045859817,0.324,0.364635682962204
"SBS42",0.123,0.138648234229431,0.363,0.421501877124739,0.583,0.623461234663714,0.272,0.284797341766904,0.236,0.264254435833305,0.283,0.351771127231386,0.388,0.439127123382252
"SBS39",0.109,0.140047483143609,0.198,0.245726818995159,0.315,0.363170096953011,0.571,0.610746287630801,0.346,0.422367562475919,0.311,0.354068948734537,0.351,0.425301601061168
"SBS95",0.102,0.118794412462013,0.709,0.742259253514898,0.41,0.435730615795743,0.381,0.422168237963788,0.504,0.559465232721283,0.484,0.534680678139305,0.379,0.419635928350938
"SBS24",0.141,0.197711342030791,0.639,0.715728498472782,0.399,0.47321618653661,0.331,0.403421519878908,0.361,0.467640393937842,0.565,0.644367736874278,0.33,0.397655524563801
"SBS17b",0.024,0.0251876323341486,0.003,0.00367086526737768,0.004,0.00457548325385711,0.042,0.0433289835922128,0.011,0.0118802105341196,0.012,0.0128526919674719,0.664,0.669085627796252
"SBS2",0.149,0.170530115968883,0.057,0.065749089591037,0.005,0.00602189604440895,0.192,0.192152697021204,0.176,0.177839708776322,0.27,0.271003649897277,0.036,0.0417818206398844
"SBS3",0.087,0.121850717065131,0.447,0.572086785741162,0.446,0.558472225781752,0.57,0.68637275058133,0.453,0.547532499386464,0.429,0.547748913910366,0.485,0.582497290515413
"SBS5",0.276,0.338862437231129,0.285,0.368467160932103,0.527,0.62430232047272,0.516,0.579737208611651,0.464,0.550456250180428,0.383,0.499185566012861,0.378,0.466725142039988
"SBS6",0.85,0.855999302468436,0.204,0.256905099677763,0.576,0.630609920896462,0.347,0.420967768545333,0.301,0.36891846414387,0.246,0.29730441488446,0.17,0.206185247578638
"SBS7a",0.178,0.18475565306238,0.047,0.0496223493010165,0.098,0.102120541135765,0.281,0.281510329579846,0.161,0.164026300208589,0.401,0.41422254679891,0.064,0.0671183071334968
