"","sample","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6","Sig7"
"1","TUMOR_1","5.412431e-15","6.803825e-02","2.224891e-01","9.342023e-12","4.121987e-15","4.265043e-01","2.829903e-01"
"2","TUMOR_10","4.559348e-11","3.004623e-01","6.996196e-01","2.508389e-11","1.348255e-11","4.126256e-15","4.285502e-15"
"3","TUMOR_10_dbgap","5.412431e-15","4.828323e-11","1.012877e-11","1.884964e-13","4.066209e-11","2.553165e-12","9.999877e-01"
"4","TUMOR_11","5.412431e-15","5.082028e-15","2.136428e-11","2.246357e-11","4.121987e-15","9.999985e-01","1.395748e-11"
"5","TUMOR_11_dbgap","3.776877e-01","2.569014e-01","1.498814e-01","1.188455e-13","1.801700e-01","3.537855e-02","4.285502e-15"
"6","TUMOR_13","5.412431e-15","5.082028e-15","4.094039e-01","1.138694e-01","4.121987e-15","4.110961e-01","6.566362e-02"
"7","TUMOR_14","5.412431e-15","5.082028e-15","1.748188e-01","1.623823e-01","4.589021e-01","2.038952e-01","4.997201e-12"
"8","TUMOR_14_dbgap","5.078562e-01","1.707477e-01","4.328091e-15","4.274764e-15","8.835389e-02","7.014663e-10","2.330422e-01"
"9","TUMOR_15","5.412431e-15","5.082028e-15","7.300297e-01","3.836877e-12","2.700539e-01","1.420379e-10","6.131548e-12"
"10","TUMOR_15_dbgap","1.174716e-01","2.395224e-11","4.328091e-15","8.824260e-01","4.121987e-15","4.126256e-15","4.285502e-15"
"11","TUMOR_16","2.093642e-01","1.393833e-01","6.513300e-01","4.274764e-15","4.121987e-15","4.126256e-15","4.285502e-15"
"12","TUMOR_16_dbgap","6.575535e-01","7.834215e-02","1.051207e-01","4.274764e-15","1.104703e-01","9.588094e-03","3.894061e-02"
"13","TUMOR_18_dbgap","1.551014e-01","1.280394e-01","1.094924e-01","9.691430e-02","7.739325e-02","4.330607e-01","4.285502e-15"
"14","TUMOR_19_dbgap","5.412431e-15","1.911529e-01","8.620909e-02","8.596448e-02","4.121987e-15","8.856641e-02","5.481004e-01"
"15","TUMOR_2","9.075831e-13","1.894394e-12","4.713039e-11","4.274764e-15","7.588618e-01","2.411334e-01","1.841360e-11"
"16","TUMOR_20_dbgap","1.194922e-02","2.836031e-01","2.999978e-01","8.263309e-02","4.121987e-15","3.218420e-01","4.285502e-15"
"17","TUMOR_21_dbgap","5.513142e-01","8.680070e-02","8.500355e-02","4.274764e-15","1.957569e-01","2.339009e-02","5.774612e-02"
"18","TUMOR_22_dbgap","3.376100e-01","1.259677e-01","5.364871e-01","4.274764e-15","4.121987e-15","4.126256e-15","2.051648e-12"
"19","TUMOR_24_dbgap","7.256622e-02","3.377553e-11","4.328091e-15","1.708715e-11","7.736336e-01","1.537960e-01","4.285502e-15"
"20","TUMOR_25_dbgap","2.990594e-01","7.288798e-03","7.164893e-02","4.603763e-01","1.199084e-01","2.398128e-02","1.769241e-02"
"21","TUMOR_26_dbgap","2.114625e-01","5.809554e-13","4.328091e-15","2.580372e-01","2.549460e-01","2.755235e-01","4.285502e-15"
"22","TUMOR_27_dbgap","2.582478e-01","5.082028e-15","4.328091e-15","7.481738e-11","4.121987e-15","7.417527e-01","3.400494e-11"
"23","TUMOR_28_dbgap","1.000006e+00","5.082028e-15","4.328091e-15","1.011041e-11","5.152513e-15","4.126256e-15","4.964159e-10"
"24","TUMOR_29_dbgap","1.195302e-01","5.056516e-01","4.328091e-15","4.492295e-02","4.121987e-15","1.799103e-01","1.499787e-01"
"25","TUMOR_3","3.464726e-01","5.082028e-15","3.694159e-01","1.281746e-01","6.379448e-02","9.217224e-02","9.486689e-12"
"26","TUMOR_30_dbgap","2.036349e-01","2.701025e-02","1.561462e-06","6.034581e-02","1.317447e-01","1.703482e-07","5.772490e-01"
"27","TUMOR_31_dbgap","1.773842e-01","8.226176e-01","4.328091e-15","2.559150e-11","4.121987e-15","5.969041e-12","4.285502e-15"
"28","TUMOR_32_dbgap","2.405709e-13","6.883119e-01","4.328091e-15","4.274764e-15","1.069328e-11","2.226517e-11","3.116848e-01"
"29","TUMOR_33_dbgap","5.412431e-15","6.999210e-02","1.066838e-01","7.657754e-01","4.121987e-15","3.348913e-10","5.747100e-02"
"30","TUMOR_36_dbgap","5.412431e-15","5.082028e-15","1.982581e-01","1.199333e-11","2.581110e-01","2.833046e-01","2.603444e-01"
"31","TUMOR_37_dbgap","5.412431e-15","5.878981e-01","4.328091e-15","3.603312e-02","1.323454e-01","2.033153e-01","4.040286e-02"
"32","TUMOR_38_dbgap","3.726316e-01","5.082028e-15","1.525230e-01","5.446744e-02","3.031984e-01","4.126256e-15","1.171901e-01"
"33","TUMOR_39_dbgap","3.776032e-02","2.245239e-01","2.541173e-01","4.274764e-15","4.121987e-15","2.463556e-01","2.372697e-01"
"34","TUMOR_4","2.772427e-01","3.407710e-13","4.328091e-15","5.890067e-01","4.121987e-15","1.336832e-01","1.191447e-10"
"35","TUMOR_4_dbgap","2.033295e-01","1.377848e-11","1.531440e-01","1.056833e-10","6.435419e-01","4.126256e-15","4.285502e-15"
"36","TUMOR_40_dbgap","5.412431e-15","6.952540e-01","4.328091e-15","3.047110e-01","1.414524e-10","3.629923e-11","2.045413e-11"
"37","TUMOR_41_dbgap","5.412431e-15","8.376883e-01","1.512521e-11","4.274764e-15","4.574814e-11","1.623122e-01","4.204326e-12"
"38","TUMOR_42_dbgap","4.261022e-01","2.773463e-01","2.772559e-13","2.965198e-01","4.121987e-15","4.126256e-15","4.285502e-15"
"39","TUMOR_43_dbgap","9.876456e-02","5.120132e-01","4.328091e-15","1.213418e-11","2.476842e-01","1.415375e-01","4.285502e-15"
"40","TUMOR_44_dbgap","5.785632e-02","4.626607e-01","4.328091e-15","4.150794e-02","1.215092e-01","3.164606e-01","4.285502e-15"
"41","TUMOR_45_dbgap","5.412431e-15","1.965798e-01","2.852391e-11","6.199142e-12","4.768134e-12","1.396072e-01","6.638048e-01"
"42","TUMOR_47_dbgap","1.849485e-01","8.150534e-01","4.328091e-15","1.177986e-11","5.166501e-12","1.526153e-11","4.285502e-15"
"43","TUMOR_48_dbgap","5.499339e-02","5.585920e-01","6.376401e-02","4.274764e-15","3.226570e-01","2.956294e-11","4.285502e-15"
"44","TUMOR_49_dbgap","1.821835e-01","5.082028e-15","2.298931e-11","3.487764e-11","4.121987e-15","4.126256e-15","8.178076e-01"
"45","TUMOR_5","6.948916e-04","1.785592e-13","9.994217e-01","4.346211e-12","1.275108e-11","4.126256e-15","6.066630e-12"
"46","TUMOR_5_dbgap","5.412431e-15","1.853995e-01","1.562643e-13","4.298172e-15","8.145959e-01","3.725625e-12","2.418097e-11"
"47","TUMOR_51_dbgap","1.000006e+00","5.082028e-15","3.353066e-12","3.786068e-11","5.896619e-12","6.767142e-12","1.106751e-11"
"48","TUMOR_52_dbgap","5.619528e-01","2.255846e-01","4.328091e-15","4.077701e-12","2.124651e-01","4.126256e-15","4.285502e-15"
"49","TUMOR_53_dbgap","1.714025e-01","1.451899e-01","4.328091e-15","4.274764e-15","4.121987e-15","4.126256e-15","6.834004e-01"
"50","TUMOR_58_dbgap","5.412431e-15","6.995524e-02","3.354005e-01","3.064966e-01","2.493698e-01","3.877983e-02","5.599385e-12"
"51","TUMOR_59_dbgap","2.194674e-02","5.194572e-02","1.832137e-01","5.332796e-01","3.663520e-11","1.178115e-01","9.176070e-02"
"52","TUMOR_6","5.412431e-15","5.082028e-15","5.593369e-01","4.274764e-15","2.148456e-01","2.258812e-01","7.533633e-12"
"53","TUMOR_60_dbgap","4.784174e-01","1.093520e-01","1.721628e-01","4.274764e-15","1.720691e-01","2.792766e-02","4.009265e-02"
"54","TUMOR_61_dbgap","4.651113e-11","1.000001e+00","4.265435e-11","5.875138e-11","4.121987e-15","4.126256e-15","8.477776e-12"
"55","TUMOR_62_dbgap","3.785261e-01","2.172593e-01","1.715549e-01","4.274764e-15","4.121987e-15","2.326819e-01","2.008120e-12"
"56","TUMOR_63_dbgap","1.531626e-01","3.985089e-01","4.328091e-15","1.022491e-01","3.460667e-01","4.126256e-15","4.285502e-15"
"57","TUMOR_64_dbgap","2.074586e-03","5.082028e-15","4.328091e-15","4.617543e-01","9.479635e-02","1.073342e-11","4.413148e-01"
