"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS1",0.899
"Sig1",2,"SBS6",0.85
"Sig1",3,"SBS15",0.768
"Sig2",1,"SBS4",0.782
"Sig2",2,"SBS95",0.709
"Sig2",3,"SBS94",0.697
"Sig3",1,"SBS42",0.583
"Sig3",2,"SBS6",0.576
"Sig3",3,"SBS5",0.527
"Sig4",1,"SBS39",0.571
"Sig4",2,"SBS3",0.57
"Sig4",3,"SBS40a",0.569
"Sig5",1,"SBS95",0.504
"Sig5",2,"SBS14",0.491
"Sig5",3,"SBS29",0.487
"Sig6",1,"SBS24",0.565
"Sig6",2,"SBS94",0.563
"Sig6",3,"SBS53",0.556
"Sig7",1,"SBS17b",0.664
"Sig7",2,"SBS9",0.538
"Sig7",3,"SBS3",0.485
