"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2"
"SBS95",0.814,0.817602023297828,0.273,0.285532334527239
"SBS1",0.084,0.0978370830143305,0.871,0.871403217344017
"SBS2",0.175,0.175015335036844,0.147,0.167608864410988
"SBS3",0.726,0.771022808325828,0.261,0.297766312304069
"SBS4",0.802,0.806155505249926,0.188,0.20446309975981
"SBS5",0.532,0.566264813475263,0.438,0.46667091031982
"SBS6",0.23,0.253381703022479,0.86,0.860722475536673
"SBS7a",0.234,0.237424672745569,0.195,0.201516125635723
"SBS7b",0.236,0.239820453211276,0.213,0.223045665771492
"SBS7c",0.164,0.174014942163603,0.067,0.0690871322772849
"SBS7d",0.102,0.104874451454031,0.121,0.123117233793925
"SBS8",0.652,0.678528048941262,0.186,0.200324776986023
"SBS9",0.355,0.396028272112954,0.199,0.219388655585629
"SBS10a",0.187,0.186998721016349,0.089,0.0893516369624118
"SBS10b",0.113,0.113443188978579,0.362,0.383959698615281
"SBS10c",0.385,0.413802096809502,0.237,0.242173677314517
"SBS10d",0.244,0.244120383992723,0.115,0.114780013709928
"SBS11",0.275,0.275328051368273,0.17,0.170073808643421
"SBS12",0.169,0.188315704091342,0.171,0.178441836951916
"SBS13",0.278,0.278243476227465,0.025,0.0249910631896025
"SBS14",0.496,0.498760430771856,0.194,0.200372168325657
"SBS15",0.225,0.231214197773567,0.776,0.782603329690907
"SBS16",0.202,0.236621913660627,0.102,0.103296148788037
"SBS17a",0.158,0.158447962803818,0.039,0.0390482644464181
"SBS17b",0.201,0.201975760887727,0.026,0.026486155323064
"SBS18",0.654,0.658355646649176,0.265,0.287993885402064
"SBS19",0.198,0.198076873194877,0.214,0.217790362956721
"SBS20",0.485,0.491667772152198,0.276,0.27830100151119
"SBS21",0.115,0.129587446279935,0.183,0.186486574454825
"SBS22a",0.17,0.179382292930864,0.037,0.0377837325587072
"SBS22b",0.196,0.200128083575182,0.09,0.0981579249564226
"SBS23",0.231,0.231274740236559,0.26,0.261258758632127
"SBS24",0.745,0.752059379156964,0.283,0.316355872049712
"SBS25",0.521,0.567219188038925,0.356,0.448038818544313
"SBS26",0.17,0.192946378613322,0.207,0.215704036411342
"SBS27",0.129,0.138762132510214,0.086,0.0885463707530768
"SBS28",0.118,0.121777637473556,0.027,0.0267765441814875
"SBS29",0.75,0.757495645828233,0.307,0.331723004238948
"SBS30",0.329,0.329508050088582,0.281,0.285993062481411
"SBS31",0.304,0.305611712058096,0.224,0.230523259184407
"SBS32",0.326,0.330401202962486,0.289,0.30146847580439
"SBS33",0.103,0.105568895519825,0.115,0.115020621984894
"SBS34",0.033,0.0345618083867519,0.082,0.08167638791842
"SBS35",0.599,0.600662462991174,0.194,0.220670524581333
"SBS36",0.538,0.538490851560756,0.17,0.180219592571314
"SBS37",0.202,0.244793516481053,0.183,0.211322581051383
"SBS38",0.502,0.501952689078763,0.09,0.0900137565432706
"SBS39",0.505,0.518268432059684,0.216,0.246648806888697
"SBS40a",0.645,0.67236154731764,0.385,0.415112935968479
"SBS40b",0.511,0.556940031166175,0.245,0.287581993325499
"SBS40c",0.561,0.599278567656367,0.37,0.397304458264377
"SBS41",0.254,0.268392058727235,0.201,0.219938295787156
"SBS42",0.53,0.531887698033179,0.265,0.277054801903775
"SBS43",0.178,0.184114292897364,0.041,0.0422794152091673
"SBS44",0.398,0.431557892878542,0.426,0.428651715867542
"SBS45",0.6,0.600067459713063,0.119,0.12101802682827
"SBS46",0.311,0.350180764682025,0.225,0.235118025357089
"SBS47",0.214,0.221387042229363,0.084,0.0956946406543505
"SBS48",0.055,0.055174109163623,0.029,0.0290858610912377
"SBS49",0.304,0.304079422615827,0.043,0.0468410274171505
"SBS50",0.371,0.372009978071259,0.151,0.178078974231955
"SBS51",0.286,0.295782972882289,0.158,0.17267999431413
"SBS52",0.196,0.196415269258468,0.096,0.0973359316608391
"SBS53",0.412,0.41323189838188,0.089,0.089418593932565
"SBS54",0.15,0.156968143288551,0.2,0.201242016668777
"SBS55",0.147,0.159393154659873,0.055,0.0617946110637893
"SBS56",0.247,0.247844411659545,0.113,0.113416454497621
"SBS57",0.215,0.21757222121402,0.159,0.188489178619602
"SBS58",0.309,0.315289157405945,0.136,0.14830400492724
"SBS59",0.423,0.423430191315305,0.067,0.0667129230128134
"SBS60",0.083,0.082834153847156,0.014,0.0133235705513436
"SBS84",0.305,0.308078427169302,0.227,0.228434067905606
"SBS85",0.127,0.148145456977622,0.109,0.113294232782039
"SBS86",0.304,0.31520575051609,0.183,0.202421538318882
"SBS87",0.274,0.327739062243016,0.659,0.717685877386648
"SBS88",0.108,0.119821568853036,0.124,0.148974627192829
"SBS89",0.632,0.655341097596771,0.223,0.26812029015352
"SBS90",0.064,0.0650193736014801,0.031,0.0327848152687627
"SBS91",0.157,0.157489202351757,0.097,0.0974698060869727
"SBS92",0.478,0.534993011023873,0.316,0.333239559148028
"SBS93",0.363,0.384266506331675,0.252,0.323917915650498
"SBS94",0.759,0.796694346630568,0.398,0.417569785192643
"SBS96",0.341,0.376888938821768,0.265,0.31989546494504
"SBS97",0.205,0.205216894401971,0.205,0.205974703944667
"SBS98",0.289,0.317241482137651,0.351,0.393475156480285
"SBS99",0.382,0.390829170716155,0.161,0.189031178380787
